wavelength,fractal_dimension,fraction_of_coating,primary_particle_size,number_of_primary_particles,vol_equi_radius_inner,vol_equi_radius_outer,equi_mobility_dia,mie_epsilon,length_scale_factor,m_real_bc,m_im_bc,m_real_organics,m_im_organics,volume_total,volume_bc,volume_organics,density_bc,density_organics,mass_total,mass_organics,mass_bc,mr_total_bc,mr_nonbc_bc,q_ext,q_abs,q_sca,g,c_geo,c_ext,c_abs,c_sca,ssa,mac_total,mac_bc,mac_organics
660.0,1.5,70.0,22.4,0.5,11.9055078897614,17.7788917820438,24.988961842795,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,23539.7945793204,7068.583470576865,16471.211108743537,1.5,1.1,2.872120742548319e-17,1.811833221961789e-17,1.0602875205865296e-17,2.7088131160494275,1.7088131160494273,0.03832579844291484,0.05126196388494009,-0.01293616544202525,0.0009189264260385244,993.0228582819329,3.805839391572055e-05,5.0904301898168424e-05,-1.2845907982447878e-05,-0.33753153143810666,1.7723593978504908,4.800990383250874,2.809546777327057
660.0,1.5,70.0,22.4,1.0,15.0,22.4,35.585536,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,47079.589158641065,14137.16694115407,32942.422217486994,1.5,1.1,5.74424148509668e-17,3.6236664439235693e-17,2.12057504117311e-17,2.7088131160493822,1.7088131160493822,0.04147093566762994,0.05742436522103844,-0.015953429553408505,0.0032397514098221336,1576.3255298652143,6.537169464028298e-05,9.0519492934227e-05,-2.5147798293944032e-05,-0.38468940467771806,1.5758302148173615,4.268629554564185,2.4980084214433353
660.0,1.5,70.0,22.4,2.0,18.898815748423,28.2222315176451,50.6755895012266,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,94159.17831728155,28274.333882307703,65884.84443497384,1.5,1.1,1.1488482970193278e-16,7.247332887847123e-17,4.241150082346155e-17,2.708813116049405,1.708813116049405,0.059959631503724964,0.07400992390313377,-0.014050292399408804,0.02353533410195041,2502.26080435236,0.00015003463575518193,0.00018519213171591247,-3.515749596073052e-05,-0.2343291986131692,1.6119807305837601,4.366554545824191,2.5553142732888214
660.0,1.5,70.0,22.4,3.0,21.6337435546111,32.3063903748859,62.3168297888478,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,141238.76747592262,42411.50082346206,98827.26665246056,1.5,1.1,1.723272445528997e-16,1.0870999331770661e-16,6.361725123519308e-17,2.708813116049381,1.708813116049381,0.07765868707870638,0.08812120706386395,-0.01046251998515757,0.045533601870175744,3278.8892345363442,0.00025463423303059705,0.00028893967717605155,-3.430544414545451e-05,-0.1347243995324554,1.6766917960401497,4.541844728685951,2.6578943513649285
660.0,1.5,70.0,22.4,4.0,23.8110157795229,35.5577835640876,72.1645831412187,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,188318.3566345632,56548.667764615624,131769.6888699476,1.5,1.1,2.297696594038658e-16,1.4494665775694238e-16,8.482300164692343e-17,2.708813116049397,1.7088131160493971,0.0931394013178739,0.09991553569307143,-0.006776134375197529,0.0661282423973546,3972.0914331277318,0.0003699582180613727,0.00039687364336281713,-2.691542530144444e-05,-0.07275260823366658,1.727267405072107,4.678844601783931,2.7380668827033263
660.0,1.5,70.0,22.4,5.0,25.6496392001504,38.303461205558,80.8626954558498,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,235397.94579320517,70685.83470576988,164712.11108743527,1.5,1.1,2.872120742548336e-16,1.8118332219617879e-16,1.0602875205865482e-16,2.7088131160493965,1.7088131160493965,0.10674054522211662,0.11000467335770736,-0.003264128135590738,0.08504466223834584,4609.20381052368,0.0004919889277751552,0.0005070339596157575,-1.5045031840602384e-05,-0.030580021198115554,1.7653643598767483,4.782042132640282,2.7984582326333505
660.0,1.5,70.0,22.4,6.0,27.256808892482,40.7035012794399,88.7422936497982,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,282477.5349518458,84823.00164692351,197654.5333049223,1.5,1.1,3.446544891057998e-16,2.1741998663541455e-16,1.2723450247038525e-16,2.7088131160494036,1.7088131160494036,0.11884553701585077,0.11882101785528221,2.4519160568559073e-05,0.10241740015294454,5204.9122201902055,0.000618580587928869,0.000618452967850397,1.2762007847209894e-07,0.0002063111597138804,1.7944143697503045,4.8607331804071485,2.844508351881482
660.0,1.5,70.0,22.4,7.0,28.6939677415858,42.8496584941015,96.0005037819152,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,329557.1241104871,98960.16858807812,230596.955522409,1.5,1.1,4.020969039567671e-16,2.536566510746499e-16,1.4844025288211715e-16,2.7088131160493893,1.708813116049389,0.1297525258338581,0.12665768407896394,0.003094841754894162,0.11843716927768355,5768.257012290761,0.0007484459170035902,0.0007305940743489916,1.7851842654598496e-05,0.02385188060891361,1.8169602082475722,4.921805643440853,2.8802480489028506
660.0,1.5,70.0,22.4,8.0,30.0,44.8,102.765988737433,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,376636.7132691285,113097.33552923256,263539.37773989595,1.5,1.1,4.595393188077344e-16,2.8989331551388555e-16,1.696460032938488e-16,2.7088131160493822,1.7088131160493822,0.1396842594263532,0.1337187443693324,0.005965515057020809,0.13328100231362328,6305.302119460857,0.0008807514570163052,0.000843137082283596,3.7614374732708964e-05,0.04270713881091272,1.8347441617642175,4.969979049981942,2.90843919870657
660.0,1.5,70.0,22.4,9.0,31.2012573457785,46.5938776363626,109.128250166928,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,423716.30242776824,127234.50247038587,296481.7999573824,1.5,1.1,5.169817336586994e-16,3.261299799531206e-16,1.908517537055788e-16,2.708813116049389,1.708813116049389,0.14880840300414988,0.14015106438955627,0.008657338614593613,0.1470999384985987,6820.364454338095,0.001014927542356322,0.0009558813378001791,5.904620455614288e-05,0.05817775367397889,1.8489653996774134,5.008501725767678,2.930982726388975
660.0,1.5,70.0,22.4,10.0,32.3165203504782,48.2593370567142,115.152537280409,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,470795.891586411,141371.66941153994,329424.222174871,1.5,1.1,5.74424148509668e-16,3.623666443923581e-16,2.120575041173099e-16,2.708813116049397,1.7088131160493967,0.15725337564415298,0.14606358761051297,0.011189788033640014,0.1600201033433848,7316.654977561129,0.001150568693645082,0.001068696875330896,8.187181831418618e-05,0.07115769685581357,1.8604664830049513,5.039656011134104,2.949214260939944
