wavelength,fractal_dimension,fraction_of_coating,primary_particle_size,number_of_primary_particles,vol_equi_radius_inner,vol_equi_radius_outer,equi_mobility_dia,mie_epsilon,length_scale_factor,m_real_bc,m_im_bc,m_real_organics,m_im_organics,volume_total,volume_bc,volume_organics,density_bc,density_organics,mass_total,mass_organics,mass_bc,mr_total_bc,mr_nonbc_bc,q_ext,q_abs,q_sca,g,c_geo,c_ext,c_abs,c_sca,ssa,mac_total,mac_bc,mac_organics
660.0,1.5,70.0,22.4,0.5,11.9055078897614,17.7788917820438,24.988961842795,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,23539.7945793204,7068.583470576865,16471.211108743537,1.5,1.1,2.872120742548319e-17,1.811833221961789e-17,1.0602875205865296e-17,2.7088131160494275,1.7088131160494273,0.10621517896652222,0.10875877737998962,-0.0025435984134674072,-0.0017355680465698242,993.0228582819329,0.00010547410061026293,0.00010799995197712573,-2.5258513668627948e-06,-0.023947598412632942,3.760285923122496,10.185911828650246,5.9608108885533735
660.0,1.5,70.0,22.4,1.0,15.0,22.4,35.585536,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,47079.589158641065,14137.16694115407,32942.422217486994,1.5,1.1,5.74424148509668e-17,3.6236664439235693e-17,2.12057504117311e-17,2.7088131160493822,1.7088131160493822,0.07476042211055756,0.07530474662780762,-0.0005443207919597626,0.0021793991327285767,1576.3255298652143,0.00011784676199637173,0.00011870479462944455,-8.580267608026258e-07,-0.007280868478119373,2.066500771902118,5.59776439525463,3.275820124904087
660.0,1.5,70.0,22.4,2.0,18.898815748423,28.2222315176451,50.6755895012266,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,94159.17831728155,28274.333882307703,65884.84443497384,1.5,1.1,1.1488482970193278e-16,7.247332887847123e-17,4.241150082346155e-17,2.708813116049405,1.708813116049405,0.10431914031505585,0.1001131683588028,0.004205971956253052,0.021199584007263184,2502.26080435236,0.0002610336959540983,0.0002505092571837611,1.052443877033723e-05,0.040318313986063004,2.180525120972927,5.90663504756668,3.4565716941722657
660.0,1.5,70.0,22.4,3.0,21.6337435546111,32.3063903748859,62.3168297888478,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,141238.76747592262,42411.50082346206,98827.26665246056,1.5,1.1,1.723272445528997e-16,1.0870999331770661e-16,6.361725123519308e-17,2.708813116049381,1.708813116049381,0.11707139015197754,0.11343373358249664,0.0036376528441905975,0.040390439331531525,3278.8892345363442,0.00038386412084152335,0.00037193664787691207,1.1927460749797064e-05,0.031072091311216354,2.158315992586638,5.846474669297824,3.421365750524163
660.0,1.5,70.0,22.4,4.0,23.8110157795229,35.5577835640876,72.1645831412187,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,188318.3566345632,56548.667764615624,131769.6888699476,1.5,1.1,2.297696594038658e-16,1.4494665775694238e-16,8.482300164692343e-17,2.708813116049397,1.7088131160493971,0.1256699413061142,0.12279088795185089,0.002879057079553604,0.05825585126876831,3972.0914331277318,0.0004991724972636811,0.00048773663409969415,1.1435877961180617e-05,0.02290967106819153,2.122719924663335,5.75005157362743,3.3649388102316107
660.0,1.5,70.0,22.4,5.0,25.6496392001504,38.303461205558,80.8626954558498,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,235397.94579320517,70685.83470576988,164712.11108743527,1.5,1.1,2.872120742548336e-16,1.8118332219617879e-16,1.0602875205865482e-16,2.7088131160493965,1.7088131160493965,0.13561521470546722,0.1324065923690796,0.003208620473742485,0.07525389641523361,4609.20381052368,0.0006250781643854264,0.0006102889700860172,1.4789185714098156e-05,0.023659737780690193,2.1248722626630534,5.755881855031237,3.3683506996588695
660.0,1.5,70.0,22.4,6.0,27.256808892482,40.7035012794399,88.7422936497982,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,282477.5349518458,84823.00164692351,197654.5333049223,1.5,1.1,3.446544891057998e-16,2.1741998663541455e-16,1.2723450247038525e-16,2.7088131160494036,1.7088131160494036,0.14702659845352173,0.14220041036605835,0.0048261843621730804,0.09198807179927826,5204.9122201902055,0.0007652605389837335,0.0007401406536303591,2.511986596356554e-05,0.03282524645328522,2.147485893918403,5.817137955977248,3.4041978618620745
660.0,1.5,70.0,22.4,7.0,28.6939677415858,42.8496584941015,96.0005037819152,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,329557.1241104871,98960.16858807812,230596.955522409,1.5,1.1,4.020969039567671e-16,2.536566510746499e-16,1.4844025288211715e-16,2.7088131160493893,1.708813116049389,0.15688003599643707,0.15073642134666443,0.006143614649772644,0.10577582567930222,5768.257012290761,0.0009049243677248751,0.0008694864194405118,3.54379482843633e-05,0.03916122764348984,2.162380289140445,5.857484089110308,3.427808479520713
660.0,1.5,70.0,22.4,8.0,30.0,44.8,102.765988737433,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,376636.7132691285,113097.33552923256,263539.37773989595,1.5,1.1,4.595393188077344e-16,2.8989331551388555e-16,1.696460032938488e-16,2.7088131160493822,1.7088131160493822,0.16390663385391235,0.156363844871521,0.007542787119746208,0.11992578208446503,6305.302119460857,0.0010334808458327682,0.00098592128247545,4.7559551612777824e-05,0.046018801629543304,2.145455768688963,5.811638726128471,3.4009797043016867
660.0,1.5,70.0,22.4,9.0,31.2012573457785,46.5938776363626,109.128250166928,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,423716.30242776824,127234.50247038587,296481.7999573824,1.5,1.1,5.169817336586994e-16,3.261299799531206e-16,1.908517537055788e-16,2.708813116049389,1.708813116049389,0.16802380979061127,0.16081471741199493,0.0072090886533260345,0.13455811142921448,6820.364454338095,0.0011459836197783501,0.0010968149823711959,4.9168611999316975e-05,0.042905163019895554,2.1215739569926284,5.746947361370434,3.3631222205602107
