wavelength,fractal_dimension,fraction_of_coating,primary_particle_size,number_of_primary_particles,vol_equi_radius_inner,vol_equi_radius_outer,equi_mobility_dia,mie_epsilon,length_scale_factor,m_real_bc,m_im_bc,m_real_organics,m_im_organics,volume_total,volume_bc,volume_organics,density_bc,density_organics,mass_total,mass_organics,mass_bc,mr_total_bc,mr_nonbc_bc,q_ext,q_abs,q_sca,g,c_geo,c_ext,c_abs,c_sca,ssa,mac_total,mac_bc,mac_organics
660.0,1.5,0.0,15.0,1.0,15.0,15.0,23.8296,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,14137.16694115407,14137.16694115407,0.0,1.5,1.1,2.12057504117311e-17,0.0,2.12057504117311e-17,1.0,0.0,0.11574980616569519,0.11512096226215363,0.0006288425647653639,0.005304436665028334,706.8583470577034,8.181871665853287e-05,8.137421309631818e-05,4.4450261588957195e-07,0.0054327743127942085,3.837365408738455,3.837365408738455,inf
660.0,1.5,0.0,15.0,2.0,18.89881575,18.89881575,33.93454654,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,28274.333889385704,28274.333889385704,0.0,1.5,1.1,4.241150083407855e-17,0.0,4.241150083407855e-17,1.0,0.0,0.14755932986736298,0.1464616358280182,0.0010977002093568444,0.008858920074999332,1122.06768389915,0.00016557155550198265,0.00016433986849362513,1.2316939315286465e-06,0.007439042907208204,3.8748892461163393,3.8748892461163393,inf
660.0,1.5,0.0,15.0,4.0,23.81101578,23.81101578,48.32449764,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,56548.66776801482,56548.66776801482,0.0,1.5,1.1,8.482300165202222e-17,0.0,8.482300165202222e-17,1.0,0.0,0.1987685263156891,0.19581902027130127,0.0029495058115571737,0.023459535092115402,1781.1714215751579,0.0003540408185821151,0.00034878724270808836,5.253575459315481e-06,0.014838897623121738,4.1119417600776815,4.1119417600776815,inf
660.0,1.5,0.0,15.0,6.0,27.25680889,27.25680889,59.42564307,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,84823.00162375161,84823.00162375161,0.0,1.5,1.1,1.272345024356274e-16,0.0,1.272345024356274e-16,1.0,0.0,0.22726750373840332,0.22291450202465057,0.004352998919785023,0.03609722852706909,2333.9948368333635,0.0005304411803054405,0.0005202812967808148,1.0159877003519452e-05,0.019153635948896408,4.08915260264443,4.08915260264443,inf
660.0,1.5,0.0,15.0,8.0,30.0,30.0,68.81651032,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,113097.33552923256,113097.33552923256,0.0,1.5,1.1,1.696460032938488e-16,0.0,1.696460032938488e-16,1.0,0.0,0.2511223256587982,0.245289146900177,0.0058331917971372604,0.05107816308736801,2827.4333882308138,0.0007100316480978577,0.0006935387237162132,1.6492961247179995e-05,0.023228486999869347,4.088152448336284,4.088152448336284,inf
660.0,1.5,0.0,15.0,10.0,32.31652035,32.31652035,77.11107407,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,141371.66940526414,141371.66940526414,0.0,1.5,1.1,2.1205750410789618e-16,0.0,2.1205750410789618e-16,1.0,0.0,0.2727758586406708,0.26529523730278015,0.007480633910745382,0.06725231558084488,3280.9458105519116,0.0008949628106268092,0.0008704192973879317,2.4543554489732625e-05,0.027424106374382973,4.1046380369782005,4.1046380369782005,inf
660.0,1.5,0.0,15.0,12.0,34.34142728,34.34142728,84.62509864,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,169646.00334423725,169646.00334423725,0.0,1.5,1.1,2.5446900501635585e-16,0.0,2.5446900501635585e-16,1.0,0.0,0.29348376393318176,0.28415846824645996,0.009325282648205757,0.08511915057897568,3704.985860686043,0.0010873531957133588,0.001052803107047338,3.4550040358503235e-05,0.03177444264292717,4.137254778748672,4.137254778748672,inf
660.0,1.5,0.0,15.0,14.0,36.15213396,36.15213396,91.54656441,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,197920.33713298745,197920.33713298745,0.0,1.5,1.1,2.9688050569948115e-16,0.0,2.9688050569948115e-16,1.0,0.0,0.313568115234375,0.302232563495636,0.011335538700222969,0.10481852293014526,4105.988681442156,0.0012875071320134935,0.0012409634848763293,4.654359360116504e-05,0.036150164902210236,4.180010007570187,4.180010007570187,inf
660.0,1.5,0.0,15.0,16.0,37.7976315,37.7976315,97.99816497,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,226194.67111508563,226194.67111508563,0.0,1.5,1.1,3.392920066726284e-16,0.0,3.392920066726284e-16,1.0,0.0,0.3320092260837555,0.31876105070114136,0.013248180970549583,0.123450368642807,4488.2707355966,0.0014901472933797951,0.0014306858955099569,5.946142295000546e-05,0.039903052151203156,4.216680226393834,4.216680226393834,inf
660.0,1.5,0.0,15.0,18.0,39.31112091,39.31112091,104.0652496,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,254469.00487992287,254469.00487992287,0.0,1.5,1.1,3.817035073198843e-16,0.0,3.817035073198843e-16,1.0,0.0,0.3471597731113434,0.33222535252571106,0.01493443176150322,0.14043664932250977,4854.904903293996,0.001685427684704692,0.001612922492975651,7.250524598683157e-05,0.043018899857997894,4.225589920042183,4.225589920042183,inf
660.0,1.5,0.0,15.0,20.0,40.71626425,40.71626425,109.8100401,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,282743.3388455058,282743.3388455058,0.0,1.5,1.1,4.241150082682586e-16,0.0,4.241150082682586e-16,1.0,0.0,0.3607572913169861,0.3441561460494995,0.016601156443357468,0.15685027837753296,5208.1768315502895,0.0018788877664499652,0.0017924260662906411,8.646175836523617e-05,0.046017520129680634,4.22627360821173,4.22627360821173,inf
660.0,1.5,0.0,15.0,24.0,43.26748711,43.26748711,120.5103883,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,339292.0066059943,339292.0066059943,0.0,1.5,1.1,5.089380099089914e-16,0.0,5.089380099089914e-16,1.0,0.0,0.3856860399246216,0.3657616078853607,0.01992441713809967,0.18790315091609955,5881.298451827186,0.002268334709500035,0.0021511531781939945,0.00011718144366786464,0.051659680902957916,4.226748909122872,4.226748909122872,inf
660.0,1.5,0.0,15.0,28.0,45.54883458,45.54883458,130.366903,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,395840.6744009387,395840.6744009387,0.0,1.5,1.1,5.93761011601408e-16,0.0,5.93761011601408e-16,1.0,0.0,0.40793678164482117,0.3847298324108124,0.023206954821944237,0.21643009781837463,6517.850753772326,0.0026588710597351545,0.002507611628177514,0.00015125946797896956,0.056888606399297714,4.223267575980342,4.223267575980342,inf
660.0,1.5,0.0,15.0,32.0,47.62203156,47.62203156,139.554306,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,452389.34214411856,452389.34214411856,0.0,1.5,1.1,6.785840132161778e-16,0.0,6.785840132161778e-16,1.0,0.0,0.4281003773212433,0.4023072123527527,0.02579316310584545,0.24345119297504425,7124.6856863006315,0.0030500806306005615,0.0028663124373451655,0.00018376817998463462,0.06025027111172676,4.223961044646713,4.223961044646713,inf
660.0,1.5,0.0,15.0,36.0,49.52890873,49.52890873,148.194139,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,508938.00977613754,508938.00977613754,0.0,1.5,1.1,7.634070146642062e-16,0.0,7.634070146642062e-16,1.0,0.0,0.44751471281051636,0.419100821018219,0.028413904830813408,0.26730799674987793,7706.681150858926,0.003448853201948852,0.0032298763976506086,0.00021897690478192908,0.06349267065525055,4.23087073554244,4.23087073554244,inf
660.0,1.5,0.0,15.0,40.0,51.2992784,51.2992784,156.3750091,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,565486.6776362116,565486.6776362116,0.0,1.5,1.1,8.482300164543173e-16,0.0,8.482300164543173e-16,1.0,0.0,0.46656325459480286,0.4358450174331665,0.030718224123120308,0.28659364581108093,8267.465380705215,0.0038572955552716856,0.0036033335929815647,0.00025396185449464093,0.06583935767412186,4.248061873645835,4.248061873645835,inf
